都道府県,県庁所在地,latitude,longitude
北海道,札幌市,43.06819,141.32346
青森県,青森市,40.81672,140.76978
岩手県,盛岡市,39.69862,141.17048
宮城県,仙台市,38.27175,140.82907
秋田県,秋田市,39.71779,140.12199
山形県,山形市,38.26889,140.34118
福島県,福島市,37.77516,140.47858
茨城県,水戸市,36.37885,140.45915
栃木県,宇都宮市,36.56788,139.90275
群馬県,前橋市,36.39332,139.06241
埼玉県,さいたま市,35.87375,139.65097
千葉県,千葉市,35.61678,140.12287
東京都,東京,35.69162,139.75850
神奈川県,横浜市,35.43885,139.61973
新潟県,新潟市,37.92445,139.03932
富山県,富山市,36.71368,137.22378
石川県,金沢市,36.57737,136.65828
福井県,福井市,36.07731,136.21963
山梨県,甲府市,35.66650,138.56558
長野県,長野市,36.65991,138.18450
岐阜県,岐阜市,35.42701,136.76510
静岡県,静岡市,35.01879,138.40569
愛知県,名古屋市,35.18034,136.91253
三重県,津市,34.73125,136.51041
滋賀県,大津市,32.02385,135.86244
京都府,京都市,35.01344,135.76139
大阪府,大阪市,34.69612,135.50800
兵庫県,神戸市,34.68823,135.21277
奈良県,奈良市,34.69475,135.83297
和歌山県,和歌山市,34.24387,135.16095
鳥取県,鳥取市,35.50587,134.23867
島根県,松江市,35.48779,133.05240
岡山県,岡山市,34.65420,133.91880
広島県,広島市,34.38866,132.46060
山口県,山口市,34.18448,131.47770
徳島県,徳島市,34.07625,134.54276
香川県,高松市,34.34334,134.04881
愛媛県,松山市,33.83490,132.78160
高知県,高知市,33.56294,133.54352
福岡県,福岡市,33.58893,130.42734
佐賀県,佐賀市,33.26523,130.29769
長崎県,長崎市,32.75817,129.85934
熊本県,熊本市,32.80553,130.69267
大分県,大分市,33.25393,131.63292
宮崎県,宮崎市,31.90936,131.44556
鹿児島県,鹿児島市,31.59272,130.56360
沖縄県,那覇市,26.21115,127.68813
